"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 21:48:37 GMT 2022","Fri Feb 18 21:48:38 GMT 2022","799","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"passed","Fri Feb 18 21:48:39 GMT 2022","Fri Feb 18 21:48:40 GMT 2022","766","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"broken","Fri Feb 18 21:48:10 GMT 2022","Fri Feb 18 21:48:30 GMT 2022","19100","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"broken","Fri Feb 18 21:48:32 GMT 2022","Fri Feb 18 21:48:33 GMT 2022","1375","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"broken","Fri Feb 18 21:48:33 GMT 2022","Fri Feb 18 21:48:35 GMT 2022","1472","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
"passed","Fri Feb 18 21:48:30 GMT 2022","Fri Feb 18 21:48:32 GMT 2022","2176","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"passed","Fri Feb 18 21:48:38 GMT 2022","Fri Feb 18 21:48:39 GMT 2022","787","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"passed","Fri Feb 18 21:48:36 GMT 2022","Fri Feb 18 21:48:37 GMT 2022","887","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"passed","Fri Feb 18 21:48:40 GMT 2022","Fri Feb 18 21:48:40 GMT 2022","766","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
"passed","Fri Feb 18 21:48:36 GMT 2022","Fri Feb 18 21:48:36 GMT 2022","809","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"passed","Fri Feb 18 21:48:35 GMT 2022","Fri Feb 18 21:48:36 GMT 2022","760","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
