"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 22:12:31 GMT 2022","Fri Feb 18 22:12:32 GMT 2022","743","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
"passed","Fri Feb 18 22:12:30 GMT 2022","Fri Feb 18 22:12:31 GMT 2022","740","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"passed","Fri Feb 18 22:12:28 GMT 2022","Fri Feb 18 22:12:29 GMT 2022","719","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"passed","Fri Feb 18 22:12:31 GMT 2022","Fri Feb 18 22:12:31 GMT 2022","694","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"passed","Fri Feb 18 22:12:23 GMT 2022","Fri Feb 18 22:12:25 GMT 2022","1854","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"passed","Fri Feb 18 22:12:27 GMT 2022","Fri Feb 18 22:12:28 GMT 2022","783","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"broken","Fri Feb 18 22:12:18 GMT 2022","Fri Feb 18 22:12:23 GMT 2022","4730","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"broken","Fri Feb 18 22:12:25 GMT 2022","Fri Feb 18 22:12:26 GMT 2022","1173","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"passed","Fri Feb 18 22:12:29 GMT 2022","Fri Feb 18 22:12:30 GMT 2022","718","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"passed","Fri Feb 18 22:12:28 GMT 2022","Fri Feb 18 22:12:28 GMT 2022","726","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"broken","Fri Feb 18 22:12:26 GMT 2022","Fri Feb 18 22:12:27 GMT 2022","1215","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
