"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 18 21:40:44 GMT 2022","Fri Feb 18 21:40:44 GMT 2022","359","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"broken","Fri Feb 18 21:40:45 GMT 2022","Fri Feb 18 21:40:46 GMT 2022","348","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"broken","Fri Feb 18 21:40:44 GMT 2022","Fri Feb 18 21:40:44 GMT 2022","327","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"broken","Fri Feb 18 21:40:45 GMT 2022","Fri Feb 18 21:40:45 GMT 2022","345","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"broken","Fri Feb 18 21:40:43 GMT 2022","Fri Feb 18 21:40:43 GMT 2022","382","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"broken","Fri Feb 18 21:40:46 GMT 2022","Fri Feb 18 21:40:46 GMT 2022","347","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
"broken","Fri Feb 18 21:40:42 GMT 2022","Fri Feb 18 21:40:43 GMT 2022","450","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"broken","Fri Feb 18 21:40:43 GMT 2022","Fri Feb 18 21:40:43 GMT 2022","361","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
"broken","Fri Feb 18 21:40:44 GMT 2022","Fri Feb 18 21:40:45 GMT 2022","371","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"broken","Fri Feb 18 21:40:43 GMT 2022","Fri Feb 18 21:40:44 GMT 2022","368","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"broken","Fri Feb 18 21:40:13 GMT 2022","Fri Feb 18 21:40:42 GMT 2022","28913","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
