"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 18 21:16:18 GMT 2022","Fri Feb 18 21:16:19 GMT 2022","372","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"broken","Fri Feb 18 21:16:18 GMT 2022","Fri Feb 18 21:16:18 GMT 2022","362","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"broken","Fri Feb 18 21:16:18 GMT 2022","Fri Feb 18 21:16:18 GMT 2022","329","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"broken","Fri Feb 18 21:16:17 GMT 2022","Fri Feb 18 21:16:18 GMT 2022","372","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
"broken","Fri Feb 18 21:16:17 GMT 2022","Fri Feb 18 21:16:17 GMT 2022","366","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"broken","Fri Feb 18 21:16:19 GMT 2022","Fri Feb 18 21:16:19 GMT 2022","354","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"broken","Fri Feb 18 21:16:20 GMT 2022","Fri Feb 18 21:16:20 GMT 2022","374","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
"broken","Fri Feb 18 21:16:19 GMT 2022","Fri Feb 18 21:16:20 GMT 2022","364","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"broken","Fri Feb 18 21:16:19 GMT 2022","Fri Feb 18 21:16:19 GMT 2022","386","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"broken","Fri Feb 18 21:15:48 GMT 2022","Fri Feb 18 21:16:16 GMT 2022","28211","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"broken","Fri Feb 18 21:16:16 GMT 2022","Fri Feb 18 21:16:17 GMT 2022","513","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
