"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 18 21:43:53 GMT 2022","Fri Feb 18 21:43:55 GMT 2022","1357","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"passed","Fri Feb 18 21:43:56 GMT 2022","Fri Feb 18 21:43:57 GMT 2022","953","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"passed","Fri Feb 18 21:43:59 GMT 2022","Fri Feb 18 21:44:00 GMT 2022","854","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"passed","Fri Feb 18 21:43:51 GMT 2022","Fri Feb 18 21:43:53 GMT 2022","2018","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"passed","Fri Feb 18 21:44:01 GMT 2022","Fri Feb 18 21:44:02 GMT 2022","903","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
"passed","Fri Feb 18 21:43:57 GMT 2022","Fri Feb 18 21:43:58 GMT 2022","896","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"passed","Fri Feb 18 21:43:58 GMT 2022","Fri Feb 18 21:43:59 GMT 2022","843","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"passed","Fri Feb 18 21:44:00 GMT 2022","Fri Feb 18 21:44:01 GMT 2022","983","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"passed","Fri Feb 18 21:44:01 GMT 2022","Fri Feb 18 21:44:01 GMT 2022","861","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"broken","Fri Feb 18 21:43:44 GMT 2022","Fri Feb 18 21:43:51 GMT 2022","7200","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"broken","Fri Feb 18 21:43:55 GMT 2022","Fri Feb 18 21:43:56 GMT 2022","1360","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
