"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 22:45:23 GMT 2022","Fri Feb 18 22:45:24 GMT 2022","833","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"passed","Fri Feb 18 22:45:24 GMT 2022","Fri Feb 18 22:45:25 GMT 2022","774","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
"passed","Fri Feb 18 22:45:24 GMT 2022","Fri Feb 18 22:45:24 GMT 2022","809","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"passed","Fri Feb 18 22:45:15 GMT 2022","Fri Feb 18 22:45:17 GMT 2022","2002","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"passed","Fri Feb 18 22:45:22 GMT 2022","Fri Feb 18 22:45:23 GMT 2022","832","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"passed","Fri Feb 18 22:45:20 GMT 2022","Fri Feb 18 22:45:21 GMT 2022","861","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"broken","Fri Feb 18 22:45:18 GMT 2022","Fri Feb 18 22:45:19 GMT 2022","1338","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
"broken","Fri Feb 18 22:45:10 GMT 2022","Fri Feb 18 22:45:15 GMT 2022","4412","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"passed","Fri Feb 18 22:45:19 GMT 2022","Fri Feb 18 22:45:20 GMT 2022","871","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"broken","Fri Feb 18 22:45:17 GMT 2022","Fri Feb 18 22:45:18 GMT 2022","1298","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"passed","Fri Feb 18 22:45:21 GMT 2022","Fri Feb 18 22:45:22 GMT 2022","787","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
