"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 21:53:08 GMT 2022","Fri Feb 18 21:53:09 GMT 2022","770","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"broken","Fri Feb 18 21:53:03 GMT 2022","Fri Feb 18 21:53:05 GMT 2022","1460","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"broken","Fri Feb 18 21:53:05 GMT 2022","Fri Feb 18 21:53:06 GMT 2022","1388","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
"passed","Fri Feb 18 21:53:07 GMT 2022","Fri Feb 18 21:53:08 GMT 2022","774","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"passed","Fri Feb 18 21:53:01 GMT 2022","Fri Feb 18 21:53:03 GMT 2022","2166","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"passed","Fri Feb 18 21:53:06 GMT 2022","Fri Feb 18 21:53:07 GMT 2022","805","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"passed","Fri Feb 18 21:53:10 GMT 2022","Fri Feb 18 21:53:11 GMT 2022","722","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"broken","Fri Feb 18 21:52:43 GMT 2022","Fri Feb 18 21:53:01 GMT 2022","18174","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"passed","Fri Feb 18 21:53:09 GMT 2022","Fri Feb 18 21:53:10 GMT 2022","758","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"passed","Fri Feb 18 21:53:08 GMT 2022","Fri Feb 18 21:53:08 GMT 2022","759","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"passed","Fri Feb 18 21:53:11 GMT 2022","Fri Feb 18 21:53:11 GMT 2022","748","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
